,Cannonball
2147,185
2148,185
2149,185
2150,185
2151,185
2152,185
2153,185
2154,185
2155,185
2156,185
2157,185
2158,185
2159,185
2160,185
2161,185
2162,185
2163,185
2164,185
2165,185
2166,185
2167,185
2168,184
2169,184
2170,184
2171,184
2172,184
2173,184
2174,184
2175,184
2176,184
2177,184
2178,184
2179,184
2180,185
2181,185
2182,185
2183,185
2184,185
2185,184
2186,184
2187,184
2188,184
2189,184
2190,184
2191,184
2192,184
2193,184
2194,184
2195,184
2196,184
2197,184
2198,184
2199,184
2200,185
2201,185
2202,185
2203,185
2204,185
2205,185
2206,185
2207,185
2208,185
2209,185
2210,185
2211,185
2212,185
2213,185
2214,185
2215,185
2216,185
2217,185
2218,186
2219,186
2220,186
2221,186
2222,186
2223,186
2224,186
2225,185
2226,185
2227,185
2228,184
2229,184
2230,184
2231,184
2232,184
2233,184
2234,184
2235,184
2236,184
2237,184
2238,184
2239,184
2240,184
2241,184
2242,184
2243,183
2244,183
2245,183
2246,183
2247,183
2248,183
2249,183
2250,183
2251,183
2252,183
2253,183
2254,183
2255,184
2256,184
2257,184
2258,184
2259,184
2260,184
2261,184
2262,184
2263,184
2264,184
2265,184
2266,184
2267,184
2268,183
2269,183
2270,183
2271,183
2272,183
2273,184
2274,184
2275,183
2276,183
2277,183
2278,183
2279,183
2280,183
2281,183
2282,183
2283,183
2284,183
2285,182
2286,182
2287,182
2288,182
2289,182
2290,182
2291,182
2292,182
2293,182
2294,182
2295,182
2296,182
2297,182
2298,183
2299,183
2300,182
2301,182
2302,182
2303,182
2304,182
2305,182
2306,182
2307,182
2308,182
2309,182
2310,182
2311,182
2312,182
2313,183
2314,183
2315,183
2316,183
2317,183
2318,182
2319,182
2320,182
2321,182
2322,182
2323,182
2324,182
2325,182
2326,182
2327,182
2328,181
2329,181
2330,181
2331,181
2332,181
2333,181
2334,181
2335,181
2336,181
2337,181
2338,181
2339,181
2340,181
2341,181
2342,181
2343,180
2344,180
